Ax,Ay,Az,Gx,Gy,Gz,Label
0.012,-0.092,1.003,0.588,0.298,0.168,Idle
0.015,-0.093,1.005,0.618,0.901,0.252,Idle
0.018,-0.094,0.999,0.45,0.679,0.206,Idle
0.018,-0.102,1.022,-0.244,1,0.198,Idle
0.008,-0.094,1.008,0.74,0.649,0.061,Idle
0.02,-0.095,1.012,0.45,0.901,0.252,Idle
0.02,-0.099,1.007,0.595,0.847,0.26,Idle
0.014,-0.099,1.004,0.489,1.145,0.267,Idle
0.011,-0.092,1,0.466,0.802,0.244,Idle
0.011,-0.096,1.005,0.473,0.634,0.115,Idle
0.013,-0.092,1.001,0.55,0.901,-0.023,Idle
0.018,-0.092,1.001,0.664,0.908,0.305,Idle
0.016,-0.093,1.012,0.527,0.771,0.099,Idle
0.012,-0.094,0.999,0.885,0.748,0.198,Idle
0.018,-0.095,1.003,0.74,0.794,0.198,Idle
0.013,-0.092,1.008,0.656,1,0.321,Idle
0.017,-0.093,1.006,0.458,0.702,0.366,Idle
0.019,-0.098,1.009,0.58,1.069,0.168,Idle
0.015,-0.091,1.003,0.588,0.771,0.16,Idle
0.016,-0.1,1.009,0.42,1.008,0.115,Idle
0.015,-0.096,1.005,0.55,0.84,0.061,Idle
0.014,-0.098,1.012,0.42,0.855,0.298,Idle
0.016,-0.096,1.013,0.573,0.649,0.351,Idle
0.015,-0.096,0.999,0.412,0.435,0.183,Idle
0.017,-0.094,0.997,0.702,0.557,0.359,Idle
0.014,-0.098,1.001,0.557,0.916,0.435,Idle
0.013,-0.093,1.004,0.405,0.924,0.023,Idle
0.018,-0.094,1.001,0.809,0.771,0.313,Idle
0.019,-0.092,1.006,0.443,0.779,0.221,Idle
0.011,-0.092,1.004,0.443,0.733,0.107,Idle
0.009,-0.09,1.007,0.573,0.74,0.092,Idle
0.015,-0.094,1.002,0.397,0.679,0.305,Idle
0.012,-0.094,1.001,0.664,0.588,0.084,Idle
0.014,-0.096,1.007,0.42,0.763,0.092,Idle
0.014,-0.093,1,0.534,0.672,0.191,Idle
0.012,-0.092,1,0.496,0.656,0.198,Idle
0.011,-0.095,1.005,0.557,0.618,0.053,Idle
0.017,-0.094,0.996,0.771,0.817,0.313,Idle
0.01,-0.086,0.992,0.786,0.443,0.397,Idle
0.017,-0.095,0.999,0.656,0.695,0.153,Idle
0.014,-0.098,1.006,0.374,0.947,0.328,Idle
0.019,-0.097,1.013,0.58,0.855,0.496,Idle
0.013,-0.098,1.003,0.702,0.832,0.229,Idle
0.012,-0.099,0.997,0.389,0.809,0.214,Idle
0.012,-0.091,1.006,0.679,0.733,0.107,Idle
0.014,-0.094,1.001,0.634,0.901,0.252,Idle
0.016,-0.1,1.009,0.481,0.84,0.115,Idle
0.013,-0.1,1.007,0.496,0.977,0.298,Idle
0.013,-0.093,1.004,0.412,0.702,0.397,Idle
0.017,-0.099,1.002,0.649,0.809,0.267,Idle
0.015,-0.094,0.998,0.863,0.649,0.366,Idle
0.014,-0.097,1.005,0.695,0.611,0.168,Idle
0.015,-0.095,1.008,0.573,0.824,0.328,Idle
0.019,-0.094,0.998,0.473,0.863,0.107,Idle
0.016,-0.094,1.006,0.573,0.87,0.16,Idle
0.018,-0.092,1.003,0.45,0.679,0.496,Idle
0.011,-0.099,1.007,0.489,0.855,0.16,Idle
0.016,-0.099,1.006,0.481,0.733,0.137,Idle
0.02,-0.099,1.006,0.374,0.969,0.443,Idle
0.017,-0.097,1.008,0.58,0.947,0.336,Idle
0.014,-0.097,1,0.45,0.748,0.359,Idle
0.014,-0.096,0.999,0.45,0.809,0.489,Idle
0.011,-0.095,0.995,0.771,0.672,0.282,Idle
0.017,-0.097,1.005,0.557,0.702,0.069,Idle
0.011,-0.098,0.997,0.725,0.55,0.244,Idle
0.014,-0.094,1.003,0.511,0.885,0.282,Idle
0.01,-0.096,1.003,0.557,1.023,0.137,Idle
0.013,-0.095,0.998,0.435,0.878,0.336,Idle
0.015,-0.094,1.006,0.71,0.603,0.252,Idle
0.016,-0.097,1.002,0.511,0.756,0.374,Idle
0.014,-0.092,0.997,0.511,0.656,0.115,Idle
0.012,-0.091,0.997,0.374,0.748,0.16,Idle
0.017,-0.1,1,0.511,0.679,0.351,Idle
0.016,-0.095,1.005,0.687,0.878,0.16,Idle
0.013,-0.091,1.004,0.725,0.969,0.321,Idle
0.016,-0.093,1.01,0.473,0.74,0.023,Idle
0.012,-0.098,1.002,0.565,0.573,0.244,Idle
0.014,-0.093,0.995,0.55,0.74,0.153,Idle
0.015,-0.095,1.005,0.672,0.809,0.115,Idle
0.016,-0.095,0.998,0.42,0.809,0.252,Idle
0.007,-0.092,1.006,0.649,0.679,-0.031,Idle
0.013,-0.095,1.004,0.71,0.58,0.183,Idle
0.015,-0.098,1,0.687,1,0.305,Idle
0.01,-0.094,1.002,0.573,0.977,0.359,Idle
0.014,-0.094,0.996,0.603,0.733,0.206,Idle
0.017,-0.099,1.007,0.618,0.695,0.168,Idle
0.017,-0.091,1.008,0.496,0.824,0.282,Idle
0.017,-0.094,1.008,0.565,0.55,0.26,Idle
0.014,-0.097,1.01,0.237,0.786,0.137,Idle
0.011,-0.097,1.003,0.504,0.588,0.359,Idle
0.013,-0.096,0.999,0.695,0.71,0.26,Idle
0.016,-0.098,1.004,0.588,0.863,0.298,Idle
0.012,-0.093,1.008,0.771,0.87,0.389,Idle
0.017,-0.094,1.008,0.542,0.802,0.191,Idle
0.01,-0.096,1.002,0.725,0.656,0.244,Idle
0.01,-0.098,1.002,0.58,0.618,-0.046,Idle
0.016,-0.097,1.006,0.695,0.992,0.313,Idle
0.013,-0.098,1.005,0.466,0.656,0.13,Idle
0.017,-0.096,1.003,0.634,0.763,0.351,Idle
0.014,-0.094,1.002,0.733,0.824,0.16,Idle
0.012,-0.097,1,0.542,0.947,-0.145,Idle
0.015,-0.093,1.003,0.511,0.71,0.321,Idle
0.014,-0.093,1.003,0.473,0.718,0.107,Idle
0.013,-0.093,1.001,0.565,0.55,0.214,Idle
0.016,-0.094,1,0.87,0.931,0.038,Idle
0.01,-0.097,1.006,0.618,0.771,0.511,Idle
0.012,-0.095,1.005,0.702,0.748,0.092,Idle
0.012,-0.091,1.003,0.565,0.763,0.389,Idle
0.017,-0.095,1.003,0.504,0.664,0.115,Idle
0.015,-0.094,1.001,0.626,0.901,0.145,Idle
0.011,-0.092,1.003,0.275,0.634,0.267,Idle
0.02,-0.097,1.005,0.389,0.58,-0.061,Idle
0.01,-0.1,1.001,0.718,0.802,0.473,Idle
0.014,-0.097,1.002,0.733,0.634,0.374,Idle
0.017,-0.094,1.003,0.74,0.878,0.527,Idle
0.015,-0.094,0.996,0.489,1.069,0.427,Idle
0.017,-0.093,0.996,0.763,1.076,0.275,Idle
0.017,-0.096,1,0.534,0.771,0.229,Idle
0.017,-0.102,1.012,0.588,0.679,0.107,Idle
0.012,-0.09,1.003,0.817,1.015,0.206,Idle
0.013,-0.096,1.006,0.557,0.786,0.183,Idle
0.013,-0.097,1.002,0.473,0.931,0.397,Idle
0.013,-0.096,1.002,0.901,0.634,0.031,Idle
0.013,-0.094,1.002,0.71,0.84,0.008,Idle
0.017,-0.099,1.004,0.679,0.947,0.084,Idle
0.018,-0.098,1.001,0.718,0.656,0.267,Idle
0.016,-0.094,1.006,0.489,0.939,0.221,Idle
0.014,-0.094,0.997,0.702,0.649,0.443,Idle
0.015,-0.097,0.995,0.328,0.977,0.16,Idle
0.012,-0.091,0.99,0.55,0.634,0.115,Idle
0.018,-0.096,1.005,0.435,0.969,0.344,Idle
0.012,-0.094,0.998,0.763,0.695,0.366,Idle
0.01,-0.093,1.002,0.786,0.603,0.137,Idle
0.015,-0.09,1.004,0.626,0.863,0.374,Idle
0.013,-0.094,1.002,0.634,0.763,0.267,Idle
0.016,-0.096,1.001,0.366,0.55,0.137,Idle
0.014,-0.094,1.003,0.771,0.74,0.191,Idle
0.021,-0.095,1.009,0.511,0.893,0.527,Idle
0.017,-0.1,1.006,0.443,0.954,-0.107,Idle
0.019,-0.094,0.996,0.573,0.901,0.153,Idle
0.017,-0.094,1.011,0.45,0.916,0.176,Idle
0.016,-0.095,1.011,0.504,0.718,0.046,Idle
0.016,-0.097,1.005,0.504,0.702,0.366,Idle
0.013,-0.097,0.996,0.397,0.718,0.099,Idle
0.011,-0.099,0.998,0.634,0.718,0.229,Idle
0.015,-0.094,0.998,0.687,0.527,0.366,Idle
0.015,-0.095,0.994,0.519,0.809,0.305,Idle
0.012,-0.094,1.003,0.511,0.916,0.42,Idle
0.019,-0.094,1.005,0.733,0.87,0.214,Idle
0.018,-0.096,1.008,0.687,0.763,0.26,Idle
0.013,-0.096,1.005,0.58,0.985,0.023,Idle
0.014,-0.097,1.012,0.42,0.687,0.244,Idle
0.019,-0.099,1.005,0.511,0.718,0.282,Idle
0.015,-0.096,1.005,0.809,0.679,0.305,Idle
0.021,-0.096,1.008,0.221,0.802,-0.099,Idle
0.013,-0.095,1.004,0.534,0.748,0.191,Idle
0.014,-0.097,1.003,0.359,0.901,0.229,Idle
0.017,-0.091,1.001,0.405,0.672,0.191,Idle
0.019,-0.096,1.008,0.351,0.809,0.26,Idle
0.017,-0.096,1.003,0.366,0.573,0.069,Idle
0.012,-0.095,1,0.702,0.74,0.336,Idle
0.019,-0.094,1.003,0.611,0.771,-0.046,Idle
0.013,-0.093,1,0.534,0.748,0.198,Idle
0.015,-0.095,1.002,0.588,0.878,0.282,Idle
0.011,-0.092,0.998,0.733,0.718,0.115,Idle
0.014,-0.096,1.009,0.405,0.763,0.221,Idle
0.011,-0.096,0.997,0.313,0.656,0.084,Idle
0.017,-0.092,0.999,0.511,0.603,0.115,Idle
0.015,-0.097,0.998,0.656,0.71,0.382,Idle
0.013,-0.097,1.001,0.656,0.718,0.031,Idle
0.017,-0.095,1.009,0.748,0.908,0.16,Idle
0.016,-0.096,0.996,0.733,0.74,0.374,Idle
0.017,-0.101,1.01,0.29,0.748,0.389,Idle
0.015,-0.098,1.004,0.191,0.573,0.198,Idle
0.016,-0.098,1.002,0.634,0.916,0.405,Idle
0.016,-0.092,1.003,0.618,0.74,0.282,Idle
0.015,-0.095,0.998,0.641,0.779,0.336,Idle
0.012,-0.096,1.003,0.931,0.702,0.115,Idle
0.018,-0.094,0.999,0.496,0.641,0.489,Idle
0.015,-0.096,1.002,0.206,0.878,0.069,Idle
0.015,-0.091,1.004,0.542,0.695,0.206,Idle
0.012,-0.092,1,0.626,0.832,0.374,Idle
0.016,-0.098,1,0.58,0.802,0.344,Idle
0.018,-0.097,1.007,0.519,0.916,0.122,Idle
0.015,-0.093,0.999,0.534,0.832,0.191,Idle
0.012,-0.095,1.009,0.107,0.725,0.214,Idle
0.011,-0.096,1,0.573,0.84,0.527,Idle
0.013,-0.098,1.006,0.74,0.771,0.137,Idle
0.014,-0.092,1.001,0.511,0.756,0.481,Idle
0.015,-0.091,1.004,0.718,0.763,0.244,Idle
0.014,-0.094,1.005,0.504,0.649,0.305,Idle
0.014,-0.092,1.003,0.382,0.855,0.198,Idle
0.014,-0.091,1.004,0.542,0.687,0.191,Idle
0.013,-0.096,1,0.595,0.71,0.221,Idle
0.019,-0.093,1.005,0.641,0.672,0.206,Idle
0.015,-0.095,0.999,0.45,0.924,0.244,Idle
0.016,-0.097,1.005,0.382,0.832,0.328,Idle
0.016,-0.094,1.002,0.74,0.824,0.427,Idle
0.01,-0.094,1.011,0.344,0.969,0.038,Idle
0.009,-0.095,1.009,0.588,0.885,0.145,Idle
0.02,-0.095,1.01,0.733,0.733,0.305,Idle
0.011,-0.092,1,0.504,0.641,0.145,Idle
0.012,-0.096,0.998,0.305,0.74,0.031,Idle
0.012,-0.094,1.014,0.779,0.977,0.282,Idle
0.016,-0.1,0.998,0.718,0.779,0.328,Idle
0.018,-0.093,1.003,0.557,0.794,0.328,Idle
0.019,-0.095,1.002,0.511,0.939,0.115,Idle
0.015,-0.096,1.004,0.412,0.565,0.29,Idle
0.014,-0.094,0.993,0.282,0.672,0.153,Idle
0.016,-0.098,1.003,0.466,0.924,0.153,Idle
0.015,-0.095,1.004,0.702,0.656,0.13,Idle
0.016,-0.099,1.006,0.649,0.626,0.267,Idle
0.015,-0.093,0.996,0.489,0.496,0.015,Idle
0.012,-0.093,1.002,0.702,0.748,0.076,Idle
0.014,-0.094,0.996,0.725,0.771,0.061,Idle
0.015,-0.095,1.007,0.511,0.71,0.221,Idle
0.017,-0.093,1.001,0.802,0.809,0.214,Idle
0.02,-0.095,1.005,0.802,0.908,0.191,Idle
0.018,-0.096,0.998,0.511,0.855,0.405,Idle
0.009,-0.095,1.005,0.626,0.656,0.16,Idle
0.014,-0.097,1.011,0.687,0.496,0.076,Idle
0.011,-0.095,1.003,0.588,0.679,0.366,Idle
0.015,-0.096,1.001,0.763,0.511,0.244,Idle
0.012,-0.097,1.004,0.42,0.87,0.489,Idle
0.015,-0.101,1.006,0.603,0.939,0.359,Idle
0.014,-0.096,1,0.534,0.573,0.183,Idle
0.013,-0.096,1.005,0.809,1.076,0.183,Idle
0.01,-0.094,0.998,0.55,0.603,0.221,Idle
0.017,-0.096,1.01,0.397,1,0.137,Idle
0.013,-0.092,1.006,0.786,1.031,0.435,Idle
0.015,-0.096,1.007,0.748,0.672,-0.015,Idle
0.014,-0.093,1.002,0.55,0.802,-0.023,Idle
0.013,-0.093,1.009,0.595,0.763,0.351,Idle
0.011,-0.094,1.004,0.557,0.58,0.282,Idle
0.012,-0.1,1.003,0.687,0.824,0.397,Idle
